bcwID,CDCID,strainID,Serotype
BCW_4166,4866-53,4866-53,O130 Standard Strain
BCW_4167,HW 27,HW27,O131.H26 Standard Strain
BCW_4168,HW 30,HW30,O132.H28 Standard Strain
BCW_4169,HW 31,HW31,O133.H29 Standard Strain
BCW_4170,4370-53,4370-53,O134.H35 Standard Strain
BCW_4171,Coli pecs,Coli-pecs,O135 Standard Strain
BCW_4172,1111-55,1111-55,O136 Standard Strain
BCW_4173,RVC 1787,RVC1787,O137.H41 Standard Strain
BCW_4174,63-57,63-57,O139 Standard Strain
BCW_4175,149-51,149-51,O140.H43 Standard Strain
BCW_4176,RVC 2907,RVC2907,O141 Standard Strain
BCW_4177,C 771,C771,O142 Standard Strain
BCW_4178,4608-58,4608-58,O143 Standard Strain
BCW_4179,1624-56,1624-56,O144 Standard Strain
BCW_4180,E 1385 (3),E1385,O145 Standard Strain
BCW_4181,2950-54,2950-54,O146 Standard Strain
BCW_4182,G 1253,G1253,O147 Standard Strain
BCW_4183,E 519-66,E519-66,O148 Standard Strain
BCW_4184,D616 (CS 1483),D616,O149 Standard Strain
BCW_4185,880-67,880-67,O151 Standard Strain
BCW_4186,1184-68,1184-68,O152 Standard Strain
BCW_4187,14097,14097,O153 Standard Strain
BCW_4188,E 1551-68,E1551-68,O154 Standard Strain
BCW_4189,E 1529-68,E1529-68,O155 Standard Strain
BCW_4190,E 1585-68,E1585-68,O156 Standard Strain
BCW_4191,A 2,A2,O157 Standard Strain
BCW_4192,E 1020-72,E1020-72,O158 Standard Strain
BCW_4193,E 2476-72,E2476-72,O159 Standard Strain
BCW_4194,E 110-69,E110-69,O160 Standard Strain
BCW_4195,10B1/1,10B1-1,O162 Standard Strain
BCW_4196,SN3B/1,SN3B-1,O163 Standard Strain
BCW_4197,145/46,145-46,O164 Standard Strain
BCW_4198,3866-54,3866-54,O166 Standard Strain
BCW_4199,E 10702,E10702,O167 Standard Strain
BCW_4200,179-54,179-54,O168 Standard Strain
BCW_4201,3288-85,3288-85,O172 Standard Strain
BCW_4202,2531-54,2531-54,O174 Standard Strain
BCW_4203,2533-54,2533-54,O175 Standard Strain
BCW_4204,E 29518/83,E 29518-83,O176 Standard Strain
BCW_4205,E 40874/85,E 40874-85,O177 Standard Strain
BCW_4206,E 54071/88,E 54071-88,O178 Standard Strain
BCW_4207,E 43478,E43478,O179 Standard Strain
BCW_4208,86-381,86-381,O180 Standard Strain
BCW_4209,92-1250,92-1250,O181 Standard Strain
BCW_4210,99-1287,99-1287,O182 Standard Strain
BCW_4211,99-2442,99-2442,O183 Standard Strain
BCW_4212,Rki 01-9679,Rki01-9679,O184 Standard Strain
BCW_4213,99-6301,99-6301,O185 Standard Strain
BCW_4214,D 463,D463,O186 Standard Strain
BCW_4215,C 559-59,C559-59,O187 Standard Strain
BCW_5111,P 6a,P6a,O32 Standard Strain
BCW_5112,U 18-41,U18-41,O50 Standard Strain
BCW_5113,K 11a,K11a,O65 Standard Strain
BCW_5114,P 1a,P1a,O66 Standard Strain
BCW_5115,P 9c,P9c,O70 Standard Strain
BCW_5116,E 5d,E5d,O76 Standard Strain
BCW_5117,H 521a,H521a,O106 Standard Strain
BCW_5118,W 28,W28,O116 Standard Strain
BCW_5119,62-57,62-57,O138 Standard Strain
BCW_5120,E78634,E78634,O165 Standard Strain
BCW_6211,Bi8337-41,Bi8337-41,O10 Standard Strain
BCW_6212,H308a,H308a,O92 Standard Strain
BCW_6213,H311a,H311a,O95 Standard Strain
BCW_6214,H509a,H509a,O100 Standard Strain
BCW_6215,26w,26w,O114 Standard Strain
BCW_6216,1935,1935,O150 Standard Strain
BCW_6217,E223-69,E223-69,O161 Standard Strain
BCW_6218,1792-54,1792-54,O169 Standard Strain
BCW_6219,745-54,745-54,O170 Standard Strain
BCW_6220,198,198,O171 Standard Strain
BCW_6221,L119B-10,L119B-10,O173 Standard Strain
BCW_S001,Su1242,Su1242,H1 Standard Strain
BCW_S002,F8316-41,F8316-41,H16 Standard Strain
