WGSID	OUTBREAK
PNUSAS013001	1704MLTDK-1
PNUSAS013003	1704MLTDK-1
PNUSAS013007	1704MLTDK-1
PNUSAS013008	1704MLTDK-1
PNUSAS013010	1704MLTDK-1
PNUSAS013089	1704MLTDK-1
PNUSAS013138	1704MLTDK-1
PNUSAS013153	1704MLTDK-1
PNUSAS013154	1704MLTDK-1
PNUSAS013171	1704MLTDK-1
PNUSAS013254	1704MLTDK-1
PNUSAS013259	1704MLTDK-1
PNUSAS013272	1704MLTDK-1
PNUSAS013274	1704MLTDK-1
PNUSAS013275	1704MLTDK-1
PNUSAS013293	1704MLTDK-1
PNUSAS013295	1704MLTDK-1
PNUSAS013313	1704MLTDK-1
PNUSAS013318	1704MLTDK-1
PNUSAS013375	1704MLTDK-1
PNUSAS013379	1704MLTDK-1
PNUSAS013396	1704MLTDK-1
PNUSAS013398	1704MLTDK-1
PNUSAS013399	1704MLTDK-1
PNUSAS013402	1704MLTDK-1
PNUSAS013405	1704MLTDK-1
PNUSAS013454	1704MLTDK-1
PNUSAS013470	1704MLTDK-1
PNUSAS013473	1704MLTDK-1
PNUSAS013474	1704MLTDK-1
PNUSAS013507	1704MLTDK-1
PNUSAS013512	1704MLTDK-1
PNUSAS013551	1704MLTDK-1
PNUSAS013552	1704MLTDK-1
PNUSAS013555	1704MLTDK-1
PNUSAS013557	1704MLTDK-1
PNUSAS013558	1704MLTDK-1
PNUSAS013561	1704MLTDK-1
PNUSAS013589	1704MLTDK-1
PNUSAS013592	1704MLTDK-1
PNUSAS013612	1704MLTDK-1
PNUSAS013613	1704MLTDK-1
PNUSAS013619	1704MLTDK-1
PNUSAS013620	1704MLTDK-1
PNUSAS013632	1704MLTDK-1
PNUSAS013639	1704MLTDK-1
PNUSAS013641	1704MLTDK-1
PNUSAS013651	1704MLTDK-1
PNUSAS013758	1704MLTDK-1
PNUSAS013759	1704MLTDK-1
PNUSAS013782	1704MLTDK-1
PNUSAS013785	1704MLTDK-1
PNUSAS013789	1704MLTDK-1
PNUSAS013790	1704MLTDK-1
PNUSAS013793	1704MLTDK-1
PNUSAS013794	1704MLTDK-1
PNUSAS013797	1704MLTDK-1
PNUSAS013798	1704MLTDK-1
PNUSAS013799	1704MLTDK-1
PNUSAS013800	1704MLTDK-1
PNUSAS013801	1704MLTDK-1
PNUSAS013805	1704MLTDK-1
PNUSAS013806	1704MLTDK-1
PNUSAS013809	1704MLTDK-1
PNUSAS013813	1704MLTDK-1
PNUSAS013816	1704MLTDK-1
PNUSAS013824	1704MLTDK-1
PNUSAS013825	1704MLTDK-1
PNUSAS013834	1704MLTDK-1
PNUSAS013846	1704MLTDK-1
PNUSAS013855	1704MLTDK-1
PNUSAS013859	1704MLTDK-1
PNUSAS013860	1704MLTDK-1
PNUSAS013874	1704MLTDK-1
PNUSAS013895	1704MLTDK-1
PNUSAS013965	1704MLTDK-1
PNUSAS013982	1704MLTDK-1
PNUSAS014010	1704MLTDK-1
PNUSAS014012	1704MLTDK-1
PNUSAS014016	1704MLTDK-1
PNUSAS014026	1704MLTDK-1
PNUSAS014030	1704MLTDK-1
PNUSAS014047	1704MLTDK-1
PNUSAS014049	1704MLTDK-1
PNUSAS014055	1704MLTDK-1
PNUSAS014076	1704MLTDK-1
PNUSAS014099	1704MLTDK-1
PNUSAS014100	1704MLTDK-1
PNUSAS014102	1704MLTDK-1
PNUSAS014109	1704MLTDK-1
PNUSAS014113	1704MLTDK-1
PNUSAS014114	1704MLTDK-1
PNUSAS014115	1704MLTDK-1
PNUSAS014116	1704MLTDK-1
PNUSAS014164	1704MLTDK-1
PNUSAS014165	1704MLTDK-1
PNUSAS014171	1704MLTDK-1
PNUSAS014172	1704MLTDK-1
PNUSAS014175	1704MLTDK-1
PNUSAS014185	1704MLTDK-1
PNUSAS014200	1704MLTDK-1
PNUSAS014230	1704MLTDK-1
PNUSAS014234	1704MLTDK-1
PNUSAS014238	1704MLTDK-1
PNUSAS014239	1704MLTDK-1
PNUSAS014242	1704MLTDK-1
PNUSAS014249	1704MLTDK-1
PNUSAS014262	1704MLTDK-1
PNUSAS014268	1704MLTDK-1
PNUSAS014284	1704MLTDK-1
PNUSAS014286	1704MLTDK-1
PNUSAS014287	1704MLTDK-1
PNUSAS014288	1704MLTDK-1
PNUSAS014289	1704MLTDK-1
PNUSAS014297	1704MLTDK-1
